,date,ph,pl,amount,val,com
0,2020/10/30,18.92,17.88,4458900,82080000,0.904409
1,2020/10/29,18.5,18.3,3915000,71380000,0.776274
2,2020/10/28,18.27,17.97,3808500,68550000,0.799877
3,2020/10/27,18.35,17.96,4915100,87870000,1.037799
4,2020/10/26,18.58,18.4,7553400,135270000,1.613774
5,2020/10/23,17.36,17.16,5024600,85500000,1.501315
6,2020/10/22,16.8,16.45,2505200,41570000,1.013824
7,2020/10/21,16.99,16.86,3682100,61900000,1.7436
8,2020/10/20,16.85,16.75,4637600,76540000,2.979467
9,2020/10/19,16.05,15.93,884500,14090000,1.009772
10,2020/10/16,15.94,15.82,645800,10200000,0.606852
11,2020/10/15,16.08,15.83,708900,11260000,0.611711
12,2020/10/14,16.17,15.97,905800,14500000,0.790195
13,2020/10/13,16.29,16.04,1234700,19820000,1.119747
14,2020/10/12,16.2,16.2,1825700,29280000,1.720152
15,2020/10/9,15.73,15.63,1119300,17470000,1.186755
16,2020/9/30,15.48,15.3,646000,9890000,0.596194
17,2020/9/29,15.5,15.32,687600,10560000,0.525768
18,2020/9/28,15.61,15.3,1028200,15840000,0.678805
19,2020/9/25,16.12,15.64,1234700,19480000,0.657966
20,2020/9/24,16.35,16.04,1821200,29320000,0.894218
21,2020/9/23,16.52,16.31,1767300,28730000,0.922997
22,2020/9/22,16.38,16.06,1722200,27840000,0.954371
23,2020/9/21,16.55,16.4,2837300,46110000,1.612432
24,2020/9/18,16.15,16.03,2035200,32330000,1.40063
25,2020/9/17,15.8,15.64,1211700,18980000,0.900116
26,2020/9/16,15.89,15.71,1216300,19130000,0.765971
27,2020/9/15,15.82,15.82,1497700,23410000,0.790861
28,2020/9/14,15.88,15.63,1304400,20410000,0.65371
29,2020/9/11,15.64,15.61,1500700,23160000,0.678608
30,2020/9/10,16.02,15.22,2420500,37590000,1.014612
31,2020/9/9,16.15,15.81,2745500,43890000,1.075317
32,2020/9/8,16.3,16.21,2005800,32320000,0.757769
33,2020/9/7,16.44,16.15,2384700,38810000,0.803839
34,2020/9/4,16.37,16.33,2371700,38400000,0.641114
35,2020/9/3,16.49,16.22,3258300,53140000,0.771513
36,2020/9/2,16.68,16.5,3214400,52930000,0.644078
37,2020/9/1,16.9,16.67,3604100,59990000,0.555383
38,2020/8/31,17.1,16.98,6048200,101140000,0.977632
39,2020/8/28,16.48,16.35,4991300,81210000,0.964797
40,2020/8/27,16.66,16.54,7095500,116120000,0.731205
41,2020/8/26,17.59,16.86,10707900,181370000,1.006989
42,2020/8/25,17.59,17.59,2090000,36760000,0.203674
43,2020/8/24,19.54,19.54,982400,19200000,0.086794
44,2020/8/21,26.07,21.71,27643400,665870000,2.253804
45,2020/8/20,23.7,23.7,11744200,270260000,1.414238
46,2020/8/19,23.16,23.03,8847400,199760000,1.136088
47,2020/8/18,22.22,22.12,7376300,160710000,1.017348
48,2020/8/17,20.9,20.58,5714800,117440000,0.80475
49,2020/8/14,20.98,20.7,7838600,159480000,1.138329
50,2020/8/13,20.09,19.8,9160900,177690000,1.513388
51,2020/8/12,19.16,18.8,6162000,114350000,1.328745
52,2020/8/11,19.69,18.29,6630400,125170000,1.701647
53,2020/8/10,19.1,19.1,4638400,87090000,1.415294
54,2020/8/7,19.01,18.63,3674500,68470000,1.133566
55,2020/8/6,18.56,18.33,2082000,38000000,0.618255
56,2020/8/5,18.58,18.39,2457000,45190000,0.69817
57,2020/8/4,18.77,18.43,3534800,65320000,0.986063
58,2020/8/3,18.65,18.52,4459400,81990000,1.206522
59,2020/7/31,18.5,18.26,4304500,78420000,1.164127
60,2020/7/30,18.08,17.66,2840300,50480000,0.742593
61,2020/7/29,17.94,17.88,2784800,49280000,0.629581
62,2020/7/28,18.3,17.52,4091400,72650000,0.725925
63,2020/7/27,18.45,18.1,4467100,80660000,0.708753
64,2020/7/24,18.84,18.08,4940600,90460000,0.81941
65,2020/7/23,18.79,18.32,5832400,106730000,1.088671
66,2020/7/22,19.27,18.85,8849100,164630000,1.859203
67,2020/7/21,18.36,18.07,7424600,133360000,1.991673
68,2020/7/20,17.38,17.27,3100600,53030000,1.024775
69,2020/7/17,16.69,16.57,1580100,26130000,0.501721
70,2020/7/16,17.38,16.49,2843700,48190000,0.801864
71,2020/7/15,17.7,17.31,3690100,64040000,0.957582
72,2020/7/14,17.76,17.42,3913700,68010000,1.033249
73,2020/7/13,17.55,17.43,3719200,64460000,0.92774
74,2020/7/10,17.59,17.11,3565100,61530000,0.883951
75,2020/7/9,17.49,17.37,4379700,75670000,1.187297
76,2020/7/8,17.19,17.13,3361100,57240000,1.078029
77,2020/7/7,17.28,16.86,5019300,84780000,1.746257
78,2020/7/6,16.75,16.72,3840500,63560000,1.884612
79,2020/7/3,16.14,16.03,1843400,29560000,1.133033
80,2020/7/2,15.9,15.88,1524800,24000000,0.969901
81,2020/7/1,16.12,15.7,2143600,33840000,1.284423
82,2020/6/30,16.09,15.96,836800,13380000,0.550353
83,2020/6/29,16.4,15.86,1786200,28630000,1.158877
84,2020/6/24,16.8,16.48,1569200,26030000,1.027609
85,2020/6/23,16.89,16.78,2008800,33710000,1.37689
86,2020/6/22,16.68,16.57,1401400,23210000,1.075667
87,2020/6/19,16.46,16.37,941000,15430000,0.680297
88,2020/6/18,16.55,16.4,1714800,28040000,1.090146
89,2020/6/17,16.78,16.59,1228700,20450000,0.586318
90,2020/6/16,16.74,16.63,1228200,20390000,0.442448
91,2020/6/15,16.68,16.38,1803400,29750000,0.588523
92,2020/6/12,16.87,16.71,1889900,31590000,0.524928
93,2020/6/11,17.6,17.06,4327900,74580000,1.216249
94,2020/6/10,17.34,17.32,4630200,78910000,1.493054
95,2020/6/9,16.9,16.84,2670000,44670000,1.010315
96,2020/6/8,16.95,16.86,4483500,74850000,1.618849
97,2020/6/5,16.34,16.29,1680400,27150000,0.67382
98,2020/6/4,16.57,16.25,2041700,33300000,0.736831
99,2020/6/3,16.73,16.48,2338100,38630000,0.672386
100,2020/6/2,17.05,16.62,3304100,55150000,0.721618
101,2020/6/1,17.06,16.92,3104900,52120000,0.623239
102,2020/5/29,16.88,16.5,3065800,50910000,0.611772
103,2020/5/28,17.57,17.14,5573700,95100000,1.023306
104,2020/5/27,18,17.61,7845200,137060000,1.459089
105,2020/5/26,17.25,17.07,5319800,89470000,1.073536
106,2020/5/25,16.8,16.29,3252200,53190000,0.763305
107,2020/5/22,17.28,16.89,5242900,88330000,1.256669
108,2020/5/21,17.29,16.63,5223800,87570000,1.334802
109,2020/5/20,16.97,16.66,5738300,93910000,1.793275
110,2020/5/19,16.04,15.94,1846200,29260000,0.748146
111,2020/5/18,16.25,15.66,2809100,44640000,1.015244
112,2020/5/15,16.37,16.32,3950300,64050000,1.533966
113,2020/5/14,15.89,15.67,1655600,26060000,0.688966
114,2020/5/13,16.12,15.94,2077300,33060000,0.821281
115,2020/5/12,16.33,16.2,3342300,53870000,1.211312
116,2020/5/11,16.09,15.85,1850600,29420000,0.746306
117,2020/5/8,16.13,15.84,3089300,49180000,1.279171
118,2020/5/7,15.86,15.46,2287200,35500000,1.041388
119,2020/5/6,16.11,15.76,3226800,50070000,1.597552
120,2020/4/30,15.05,14.95,1944500,29000000,1.112071
121,2020/4/29,14.97,14.8,1527600,22620000,0.901281
122,2020/4/28,15.77,14.88,1995400,29570000,1.124131
123,2020/4/27,16,15.52,1404900,22060000,0.698663
124,2020/4/24,16.36,15.9,1870300,29810000,0.898846
125,2020/4/23,16.65,16.17,1676400,27540000,0.763986
126,2020/4/22,16.85,16.68,1928300,32040000,0.814915
127,2020/4/21,16.89,16.78,3174300,52030000,1.297444
128,2020/4/20,16.37,16.33,1754600,28550000,0.794937
129,2020/4/17,16.44,16.13,2437800,39560000,1.030808
130,2020/4/16,16.75,16.28,2536300,41510000,1.003236
131,2020/4/15,17.08,16.74,2329900,39270000,0.864129
132,2020/4/14,17.04,16.92,1977500,33410000,0.697767
133,2020/4/13,17.42,16.73,2543200,43030000,0.75773
134,2020/4/10,18.07,17.26,3253700,56730000,0.918299
135,2020/4/9,18.45,17.91,3376900,60800000,0.938622
136,2020/4/8,18.73,18.32,3018900,55750000,0.822983
137,2020/4/7,19.02,18.8,4589000,85910000,1.058798
138,2020/4/3,19.18,18.62,3477400,65130000,0.746739
139,2020/4/2,18.55,18.54,3526400,64250000,0.594364
140,2020/4/1,18.11,18.11,3729500,66410000,0.434627
141,2020/3/31,19.28,17.75,6348500,116610000,0.663687
142,2020/3/30,19.55,18.77,6202100,117240000,0.678473
143,2020/3/27,21.1,19.98,9858800,202090000,1.120652
144,2020/3/26,22.1,21.45,16765700,350460000,2.190524
145,2020/3/25,20.09,20.09,8652400,164470000,1.813875
146,2020/3/24,18.58,18.26,4227300,76840000,1.171529
147,2020/3/23,18.7,18,4482700,81890000,1.309177
148,2020/3/20,18.38,18.24,4140600,74690000,1.205394
149,2020/3/19,17.78,17.39,2347600,40760000,0.624654
150,2020/3/18,18.19,17.07,2843600,50450000,0.674555
151,2020/3/17,18.75,17.72,3305800,59040000,0.640034
152,2020/3/16,19.15,18.25,4537700,84630000,0.623396
153,2020/3/13,18.97,18.68,5756500,103380000,0.669758
154,2020/3/12,18.46,18.13,4634000,84230000,0.484769
155,2020/3/11,19.8,18.92,7591200,147260000,0.739743
156,2020/3/10,20.23,19.95,13875600,273570000,1.516379
157,2020/3/9,19.95,19.65,11117200,209650000,1.643977
158,2020/3/6,19.57,18.47,10578000,196600000,2.149886
159,2020/3/5,18.43,18.43,8147700,144170000,2.431394
160,2020/3/4,16.78,16.75,2033900,33680000,0.989318
161,2020/3/3,16.8,16.42,1935100,32020000,0.893769
162,2020/3/2,16.45,16.4,1906600,30750000,0.810795
163,2020/2/28,16.5,15.54,2731900,43750000,1.02176
164,2020/2/27,17.1,16.82,1671800,28200000,0.655505
165,2020/2/26,17.19,16.77,2580100,43750000,0.967402
166,2020/2/25,17.26,17.01,2867200,48630000,1.081954
167,2020/2/24,17.69,17.46,3517600,60640000,1.391962
168,2020/2/21,17.43,17.33,2115300,36670000,0.90071
169,2020/2/20,17.35,17.32,2255000,38870000,0.91986
170,2020/2/19,17.45,17.1,2495000,43130000,1.025643
171,2020/2/18,17.3,17.22,2252500,38680000,0.882828
172,2020/2/17,17.24,17.08,2624600,44650000,0.904916
173,2020/2/14,17.41,16.79,2630200,44130000,0.862683
174,2020/2/13,17.15,16.55,2160800,36080000,0.713206
175,2020/2/12,17.28,16.92,3089200,52350000,0.983371
176,2020/2/11,17.7,16.95,3997100,66420000,1.316178
177,2020/2/10,16.32,16.23,3367000,53690000,1.10718
178,2020/2/7,15.95,15.69,2534400,39730000,1.045131
179,2020/2/6,15.67,15.67,2719500,42240000,1.078225
180,2020/2/5,15.79,15.43,2566500,39870000,1.09554
181,2020/2/4,15.87,15.3,4017900,61230000,1.798458
182,2020/2/3,16.46,16.46,286500,4720000,0.165852
183,2020/1/23,19.42,18.29,3020600,56850000,1.409519
184,2020/1/22,19.58,19.49,1821900,35420000,0.869958
185,2020/1/21,20.09,19.63,2023500,39980000,0.791196
186,2020/1/20,20.06,20.06,1484700,29590000,0.565816
187,2020/1/17,20.4,20,2364300,47710000,0.82621
188,2020/1/16,20.75,20.3,2776800,56810000,0.869304
189,2020/1/15,21.05,20.67,4138300,85880000,1.36863
190,2020/1/14,20.66,20.49,2355900,48270000,0.836749
191,2020/1/13,20.59,20.52,2672800,54770000,0.928023
192,2020/1/10,20.58,20.49,4027600,82410000,1.361062
193,2020/1/9,20.3,20.19,1923800,38810000,0.646256
194,2020/1/8,20.48,20.05,3097600,62740000,0.967673
195,2020/1/7,20.49,20.41,2678700,54530000,0.875644
196,2020/1/6,20.59,20.3,3068100,62500000,0.951933
197,2020/1/3,20.67,20.56,4116000,83810000,1.271029
198,2020/1/2,20.45,20.27,3045000,61760000,1.002218
199,2019/12/31,20.49,20.12,2387800,48270000,0.86843
200,2019/12/30,20.46,20.24,3498200,70590000,1.37821
201,2019/12/27,20.38,20.17,3144600,63310000,1.346989
202,2019/12/26,20.35,20.19,3115700,62620000,1.404228
203,2019/12/25,19.83,19.82,1601500,31610000,0.752945
204,2019/12/24,19.85,19.75,1331100,26300000,0.522061
205,2019/12/23,20.1,19.63,2479800,48990000,0.782775
206,2019/12/20,20.46,20.16,2565900,52080000,0.811342
207,2019/12/19,20.4,20.28,2656600,53650000,0.867558
208,2019/12/18,20.42,20.27,3715100,75500000,1.207691
209,2019/12/17,20.49,20.32,4422400,89340000,1.599838
210,2019/12/16,19.93,19.93,2452700,48630000,1.036732
211,2019/12/13,19.77,19.68,2064000,40500000,0.835438
212,2019/12/12,19.86,19.42,2726800,53300000,1.085432
213,2019/12/11,19.95,19.75,2155500,42690000,0.823099
214,2019/12/10,20.02,19.98,2430000,48300000,0.949478
215,2019/12/9,20.29,19.9,2976500,59530000,1.202558
216,2019/12/6,20.36,20.2,2272100,45810000,0.967049
217,2019/12/5,20.47,20.29,3259700,65790000,1.261465
218,2019/12/4,20.2,19.94,1858200,37140000,0.791242
219,2019/12/3,20.15,20.15,2009200,40280000,0.856765
220,2019/12/2,20.15,20.04,2348400,46960000,0.997104
221,2019/11/29,20.24,20.03,3444800,68610000,1.369386
222,2019/11/28,20.09,19.62,2081700,41250000,0.779248
223,2019/11/27,19.92,19.88,1841400,36370000,0.610192
224,2019/11/26,20.19,19.93,2059800,41160000,0.550858
225,2019/11/25,20.74,19.9,3150200,62660000,0.670401
226,2019/11/22,21.58,20.52,4224000,88400000,0.738831
227,2019/11/21,21.69,21.41,3813300,81190000,0.635783
228,2019/11/20,21.75,21.57,5449000,117190000,0.788469
229,2019/11/19,22.44,21.99,6858400,150450000,0.814419
230,2019/11/18,22.88,21.99,8241000,181570000,0.957592
231,2019/11/15,21.75,20.8,5627300,119990000,0.758533
232,2019/11/14,22.38,22.06,8378600,179650000,1.215125
233,2019/11/13,22.49,21.87,13000800,285580000,2.230266
234,2019/11/12,21.41,21.41,7782100,164410000,2.116093
235,2019/11/11,20.13,19.46,2304500,45390000,0.887124
236,2019/11/8,20.52,20.34,3010300,61100000,1.057262
237,2019/11/7,20.74,20.25,3048600,62110000,1.095956
238,2019/11/6,20.09,20.09,2242400,44550000,0.826027
239,2019/11/5,20.27,20.06,2382800,47890000,0.82739
240,2019/11/4,20.6,20.22,3552200,71190000,1.118226
241,2019/11/1,19.86,19.8,2682400,53000000,0.902964
242,2019/10/31,19.94,19.4,2713600,53310000,0.947215
243,2019/10/30,20.45,19.94,3068500,61200000,1.09369
244,2019/10/29,21.26,20.27,3866500,79960000,1.453724
245,2019/10/28,21.2,21.19,2522300,53090000,1.012947
246,2019/10/25,21.13,21.04,2153200,45080000,0.743416
247,2019/10/24,21.33,20.94,2417700,50900000,0.801019
248,2019/10/23,21.43,21.36,2338900,49790000,0.76636
249,2019/10/22,21.4,21.28,3018200,63820000,0.990496
250,2019/10/21,22.92,21.28,4553800,97760000,1.412627
251,2019/10/18,23.04,22.84,2762800,63100000,0.890175
252,2019/10/17,23.1,22.72,2586100,59080000,0.843455
253,2019/10/16,23.07,22.7,2314900,52870000,0.716723
254,2019/10/15,23.69,22.83,3900600,90180000,1.086536
255,2019/10/14,24.04,23.81,3953900,93870000,1.087234
256,2019/10/11,23.65,23.43,2574900,60380000,0.716281
257,2019/10/10,23.8,23.43,3404900,79950000,0.898908
258,2019/10/9,23.8,23.64,4115400,94450000,0.943138
259,2019/10/8,24.19,22.99,4134200,96880000,0.816545
260,2019/9/30,24.24,23.74,3744700,89640000,0.657851
261,2019/9/27,23.8,23.65,3539900,83610000,0.461759
262,2019/9/26,24.72,23.59,6283400,150630000,0.647194
263,2019/9/25,25.68,24.27,7613000,189940000,0.709028
264,2019/9/24,25.97,25.83,7280600,186310000,0.58145
265,2019/9/23,27.7,25.73,13613700,354660000,0.912423
266,2019/9/20,28.92,28.01,13752700,389400000,0.941786
267,2019/9/19,28.08,27.86,11426200,314440000,0.861734
268,2019/9/18,28.69,27.98,16534100,460420000,1.292054
269,2019/9/17,28.88,27.79,19275200,537010000,1.610368
270,2019/9/16,27.19,27.02,12025700,321840000,1.187845
271,2019/9/12,26.46,26,7036500,184120000,0.682067
272,2019/9/11,26.8,25.84,9112300,237250000,0.744947
273,2019/9/10,27.38,26.65,12397500,331090000,0.873303
274,2019/9/9,26.15,26.14,10047800,258870000,0.667557
275,2019/9/6,26.2,25.31,12988100,333370000,0.735022
276,2019/9/5,27.43,26.52,16615000,446710000,1.086335
277,2019/9/4,27.97,27.49,18932100,511410000,1.578193
278,2019/9/3,27.16,26.94,16675000,438950000,2.027193
279,2019/9/2,28.49,26.8,23141600,619390000,4.725939
280,2019/8/30,28.56,28.56,1109000,31680000,3.840028
281,2019/8/29,25.96,25.96,122600,3180000,1.463881
282,2019/8/28,23.6,23.6,80100,1890000,1.131356
283,2019/8/27,21.45,21.45,30300,650000,0.45805
284,2019/8/26,19.5,19.5,102000,1990000,1
